Trace
Swept SA
A.24.56,N9000B
360016463.529947,-58.2756496736373
360016529.287947,-57.9083922813679
360016595.045947,-57.9899699770171
360016660.803947,-58.5105318968323
360016726.561947,-58.314394983752
360016792.319947,-59.2811406891921
360016858.077947,-59.6612745263111
360016923.835947,-59.2204485487664
360016989.593947,-59.5657894529145
360017055.351947,-59.7126186414697
360017121.109947,-60.4162184616615
360017186.867947,-60.7293226307836
360017252.625947,-60.4723117433745
360017318.383947,-60.3277413817658
360017384.141947,-60.0859174618776
360017449.899947,-60.8004118382246
360017515.657947,-61.5762383033489
360017581.415947,-61.6115428003772
360017647.173947,-61.6341529933886
360017712.931947,-62.2531935154707
360017778.689947,-62.3150265573085
360017844.447947,-62.8404769020519
360017910.205947,-63.1922929698024
360017975.963947,-62.934494150096
360018041.721947,-61.9481862386068
360018107.479947,-62.0085815780464
360018173.237947,-62.2444002436495
360018238.995947,-62.7484975354425
360018304.753947,-63.1028696695964
360018370.511947,-62.7435145761775
360018436.269947,-62.6213940149066
360018502.027947,-62.6484662636943
360018567.785947,-64.1552085876465
360018633.543947,-64.1667326126976
360018699.301947,-63.250457807519
360018765.059947,-63.1222664844031
360018830.817947,-63.5265006142101
360018896.575947,-62.7246362094221
360018962.333947,-62.8295798027652
360019028.091947,-63.3128463920506
360019093.849947,-63.3727521348274
360019159.607947,-63.5468762715658
360019225.365947,-64.8202390561159
360019291.123947,-65.3145819916122
360019356.881947,-64.7579178645693
360019422.639947,-64.4797141414949
360019488.397947,-65.0073368905604
360019554.155947,-65.2032087041044
360019619.913947,-64.3000431718497
360019685.671947,-63.783156515538
360019751.429947,-64.0048536103347
360019817.187947,-63.8709861492289
360019882.945947,-63.5362748332407
360019948.703947,-63.9779964753951
360020014.461947,-64.5267270406087
360020080.219947,-65.5964342753093
360020145.977947,-65.2421162484706
360020211.735947,-64.1410678118125
360020277.493947,-64.4428192664837
360020343.251947,-65.8960145095299
360020409.009947,-65.1347047652321
360020474.767947,-64.7875011049468
360020540.525947,-65.5596431425248
360020606.283947,-65.1405317372289
360020672.041947,-64.7373736589805
360020737.799947,-65.1305752896715
360020803.557947,-65.4305373882425
360020869.315947,-65.114260574867
360020935.073947,-65.2441671086454
360021000.831947,-65.9000453729739
360021066.589947,-66.1354590229604
360021132.347947,-66.6033473398494
360021198.105947,-65.848981265364
360021263.863947,-66.0672383363219
360021329.621947,-65.6840063073169
360021395.379947,-66.3731222920034
360021461.137947,-66.8880611288137
360021526.895947,-66.433773742325
360021592.653947,-65.6697693748036
360021658.411947,-66.2409927105081
360021724.169947,-66.233484728583
360021789.927947,-66.4762575873013
360021855.685947,-66.2279050980491
360021921.443947,-67.3548443673671
360021987.201947,-67.4225354687921
360022052.959947,-66.5048547503592
360022118.717947,-66.9392383180816
360022184.475947,-66.4640771273909
360022250.233947,-66.4449084928666
360022315.991947,-67.7231383488096
360022381.749947,-66.724828128157
